State,latitude,longitude,Electric Vehicle Registrations by State ,Electric Vehicle Charging stations by State,Electric Vehicle Charging outlests by State,Supercharing stalls open,Gross domestic product (GDP),Disposable personal income,pupulation/area,number of Laws and Incentives ,Car Sales Tax by State,Car Dealer Doc Fee by State,Car Registrate Fee by State,EV Purchase Tax Credit Maximum,Additional EV Annual Registration Fee Maximum,Monthly insurance cost by States,Difference of insurance costs from non-EVs ,Average Price of Residential  Electricity(Cents per Kilowatthour in Jul 23),Unleaded Price in October 2023,Average savings per fill up for Sedan,"Median Age
 (years)","in married-couple percentage
 family household","not in married  percentage
couple household",never married percentage,married percentage,"divorced or  percentage
separated",widowed percentage,"average family percentage
 size","less than high  percentage
school graduate","high school  percentage
graduate","some college or  percentage
associate's degree","bachelor's  percentage
degree","graduate or 
professional 
degree percentage",mean household income,"median household
 income","average number 
of workers per 
household","average household 
size of 
owner-occupied 
unit","average household 
size of 
renter-occupied 
unit"
Mississippi,37.964253,-91.831833,3600.00,163.00,551.00,8.00,151146.70,134651.10,60.70,13.00,0.05,425.00,15.00,0.00,150.00,240.00,79.00,13.02,3.20,25.00,39.30,0.54,0.43,0.34,0.45,0.14,0.07,3.07,0.12,0.29,0.33,0.16,0.10,79888.00,54203.00,1.08,2.54,2.20
Missouri,32.354668,-89.398528,26900.00,1240.00,2703.00,40.00,430114.40,346580.00,88.89,12.00,0.04,500.00,21.00,0.00,105.00,202.00,47.00,14.63,3.45,30.00,39.30,0.59,0.39,0.32,0.49,0.13,0.06,2.97,0.08,0.29,0.29,0.20,0.13,94894.00,68545.00,1.18,2.51,2.04
Montana,46.879682,-110.362566,4600.00,126.00,347.00,40.00,73254.50,64682.70,7.70,10.00,0.00,299.00,217.00,0.00,0.00,194.00,43.00,13.10,4.05,38.00,40.10,0.60,0.38,0.30,0.51,0.14,0.06,3.01,0.06,0.28,0.33,0.23,0.12,88088.00,66341.00,1.17,2.49,2.18
Nebraska,35.759573,-79.0193,6900.00,260.00,554.00,20.00,181285.00,127033.70,25.58,12.00,0.06,299.00,15.00,0.00,75.00,218.00,45.00,12.43,3.67,32.00,37.40,0.62,0.36,0.32,0.52,0.11,0.05,2.98,0.07,0.25,0.33,0.23,0.12,100419.00,74590.00,1.25,2.57,1.99
Nevada,47.551493,-101.002012,47400.00,596.00,1987.00,220.00,245978.80,187067.40,28.89,17.00,0.07,499.00,33.00,0.00,0.00,235.00,42.00,16.32,5.03,44.00,39.40,0.54,0.45,0.36,0.45,0.15,0.05,3.22,0.12,0.27,0.32,0.19,0.10,102051.00,76364.00,1.26,2.65,2.47
New Hampshire,41.492537,-99.901813,9900.00,261.00,597.00,16.00,114100.80,97893.50,149.97,17.00,0.00,372.00,31.20,0.00,0.00,150.00,37.00,29.26,3.64,22.00,43.40,0.63,0.34,0.31,0.52,0.12,0.06,2.91,0.06,0.27,0.27,0.25,0.16,126663.00,96838.00,1.31,2.55,1.98
New Jersey,43.193852,-71.572395,134800.00,1299.00,3723.00,136.00,806665.20,661194.40,1065.10,40.00,0.07,399.00,33.50,4000.00,0.00,226.00,33.00,18.47,3.59,30.00,40.40,0.61,0.37,0.35,0.50,0.10,0.05,3.13,0.09,0.25,0.22,0.26,0.18,142462.00,99781.00,1.32,2.72,2.32
New Mexico,40.058324,-74.405661,10300.00,278.00,695.00,38.00,135009.60,105653.90,17.39,23.00,0.04,339.00,27.00,0.00,0.00,172.00,31.00,14.69,3.68,31.00,39.90,0.52,0.46,0.36,0.44,0.15,0.06,3.07,0.13,0.25,0.31,0.18,0.14,85311.00,62268.00,1.10,2.51,2.21
New York,34.97273,-105.032363,131300.00,3898.00,11114.00,84.00,2172009.60,1339351.10,358.74,48.00,0.04,175.00,26.00,2000.00,0.00,223.00,27.00,22.33,3.88,28.00,40.20,0.54,0.43,0.39,0.45,0.11,0.06,3.09,0.12,0.24,0.23,0.23,0.18,129057.00,82095.00,1.19,2.62,2.19
North Carolina,38.80261,-116.419389,70200.00,1595.00,4204.00,187.00,788103.20,595900.40,201.33,31.00,0.03,599.00,36.00,0.00,140.25,105.00,11.00,12.70,3.40,30.00,39.40,0.58,0.39,0.33,0.49,0.12,0.06,2.98,0.09,0.25,0.29,0.23,0.14,99781.00,70804.00,1.18,2.51,2.19
North Dakota,43.299428,-74.217933,1000.00,98.00,209.00,,76043.30,51143.00,11.09,8.00,0.05,299.00,49.00,0.00,120.00,167.00,31.00,12.57,3.80,35.00,35.40,0.60,0.36,0.33,0.51,0.10,0.06,3.04,0.07,0.26,0.36,0.22,0.09,95730.00,73959.00,1.24,2.54,2.00
Ohio,40.417287,-82.907123,50400.00,1586.00,3653.00,220.00,884834.20,647225.00,262.93,12.00,0.06,250.00,34.50,0.00,200.00,119.00,22.00,15.85,3.35,29.00,39.90,0.56,0.41,0.34,0.47,0.13,0.06,2.97,0.08,0.32,0.28,0.19,0.13,96652.00,67769.00,1.15,2.47,2.06
Oklahoma,35.007752,-97.092877,22800.00,358.00,1363.00,40.00,256689.40,224847.00,58.00,21.00,0.03,299.00,85.00,5500.00,110.00,208.00,36.00,12.46,3.51,29.00,37.10,0.58,0.40,0.31,0.48,0.14,0.06,3.09,0.10,0.31,0.30,0.19,0.10,87434.00,62138.00,1.15,2.61,2.22
Oregon,43.804133,-120.554201,64400.00,1263.00,3190.00,207.00,318884.10,248212.90,43.03,39.00,0.00,115.00,43.00,5000.00,91.00,151.00,25.00,13.12,4.72,53.00,40.70,0.57,0.40,0.33,0.49,0.14,0.05,2.90,0.08,0.22,0.32,0.24,0.14,109248.00,80160.00,1.17,2.51,2.11
Pennsylvania,41.203322,-77.194525,70200.00,1712.00,4293.00,232.00,976360.80,788220.20,281.45,21.00,0.06,389.00,36.00,3000.00,0.00,193.00,37.00,17.94,3.85,33.00,41.10,0.57,0.39,0.35,0.48,0.11,0.06,2.96,0.08,0.33,0.24,0.21,0.14,106559.00,73824.00,1.17,2.50,2.02
Rhode Island,41.580095,-71.477429,6400.00,317.00,817.00,16.00,77573.90,65560.30,709.36,20.00,0.07,220.00,30.00,2500.00,0.00,224.00,51.00,25.79,3.67,24.00,40.80,0.55,0.41,0.37,0.45,0.12,0.06,2.99,0.10,0.26,0.24,0.23,0.16,116403.00,84972.00,1.21,2.57,2.02
South Carolina,33.836081,-81.163725,20900.00,559.00,1374.00,144.00,327420.10,275523.30,167.82,16.00,0.05,350.00,40.00,0.00,60.00,210.00,36.00,13.61,3.27,26.00,40.50,0.58,0.40,0.32,0.49,0.12,0.06,2.96,0.10,0.28,0.29,0.20,0.13,93171.00,67804.00,1.13,2.48,2.21
South Dakota,43.969515,-99.901813,1700.00,98.00,232.00,8.00,74033.90,61233.40,11.92,8.00,0.04,115.00,36.00,0.00,50.00,184.00,34.00,13.23,3.77,34.00,37.50,0.60,0.37,0.32,0.51,0.12,0.06,3.09,0.07,0.30,0.32,0.21,0.09,88755.00,69457.00,1.26,2.58,2.15
Tennessee,35.517491,-86.580447,33200.00,918.00,2225.00,163.00,523031.60,405764.70,169.10,8.00,0.07,500.00,23.75,0.00,100.00,162.00,38.00,12.31,3.30,27.00,39.10,0.58,0.40,0.31,0.49,0.13,0.06,3.01,0.10,0.31,0.27,0.19,0.12,96261.00,67631.00,1.17,2.50,2.24
Texas,31.968599,-99.901813,230100.00,3104.00,8637.00,576.00,2583866.20,1834674.40,113.57,28.00,0.06,150.00,50.75,0.00,0.00,196.00,30.00,13.80,3.30,27.00,35.90,0.60,0.38,0.34,0.49,0.12,0.05,3.26,0.14,0.24,0.28,0.22,0.13,106792.00,75780.00,1.31,2.85,2.33
Utah,39.32098,-111.093731,40000.00,893.00,2185.00,6198.00,281329.10,191527.00,40.26,22.00,0.07,299.00,43.00,0.00,130.25,172.00,33.00,11.73,4.09,42.00,32.30,0.70,0.29,0.31,0.55,0.10,0.04,3.36,0.07,0.22,0.33,0.25,0.14,116038.00,93421.00,1.47,3.04,2.50
Vermont,37.431573,-78.656894,7800.00,381.00,978.00,60.00,43533.80,38495.70,67.33,36.00,0.06,180.00,76.00,4000.00,0.00,141.00,32.00,20.44,3.79,28.00,42.90,0.57,0.39,0.33,0.48,0.14,0.06,2.91,0.06,0.28,0.25,0.24,0.17,95188.00,74014.00,1.22,2.45,2.01
Virginia,44.558803,-72.577841,84900.00,1562.00,4565.00,,719896.90,562219.00,203.76,35.00,0.04,599.00,40.75,2500.00,120.00,193.00,68.00,13.97,3.50,30.00,39.30,0.60,0.37,0.33,0.50,0.12,0.05,3.07,0.09,0.24,0.25,0.24,0.19,124204.00,89931.00,1.27,2.60,2.26
Washington,47.751074,-120.740139,152100.00,2202.00,5817.00,179.00,807864.50,556473.00,109.58,52.00,0.07,150.00,30.00,0.00,150.00,180.00,34.00,11.16,5.10,59.00,38.60,0.60,0.38,0.33,0.50,0.13,0.05,3.04,0.08,0.22,0.30,0.24,0.16,133833.00,94605.00,1.23,2.61,2.22
West Virginia,43.78444,-88.787868,2800.00,155.00,446.00,200.00,102151.80,85098.10,73.05,10.00,0.06,175.00,30.00,0.00,200.00,199.00,44.00,14.10,3.56,31.00,42.60,0.58,0.39,0.29,0.48,0.15,0.08,3.05,0.12,0.40,0.26,0.14,0.09,79767.00,55217.00,1.00,2.50,2.23
Wisconsin,38.597626,-80.454903,24900.00,577.00,1398.00,24.00,428447.10,341826.60,90.25,24.00,0.05,299.00,75.00,0.00,100.00,132.00,24.00,16.94,3.41,29.00,40.50,0.59,0.39,0.34,0.50,0.11,0.05,2.94,0.06,0.30,0.30,0.22,0.12,99892.00,74631.00,1.20,2.49,1.94
Wyoming,43.075968,-107.290284,1100.00,103.00,252.00,96.00,51990.50,42460.40,5.97,9.00,0.04,500.00,30.00,0.00,200.00,170.00,29.00,12.41,3.86,37.00,38.50,0.63,0.35,0.28,0.53,0.14,0.06,3.02,0.06,0.28,0.37,0.18,0.11,92145.00,72495.00,1.20,2.52,2.13
